dataset,model,num_datasets,dataset_type,score,model_type
wildguardtest,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.8294871794871795,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.8752613240418119,Hidden States GDA
harmbench,olmo2_1124_7b_inst,wildguard,harmful,0.9829787234042553,Hidden States GDA
harmbench,olmo2_1124_7b_inst,aegis,harmful,0.8020050125313283,Hidden States GDA
harmbench,olmo2_1124_7b_inst,toxichat,harmful,0.7743589743589744,Hidden States GDA
harmbench,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.9915611814345991,Hidden States GDA
harmbench,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.947136563876652,Hidden States GDA
harmbench,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.7806122448979592,Hidden States GDA
harmbench,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.9517543859649122,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,wildguard,harmful,0.7369281045751634,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,aegis,harmful,0.6750700280112045,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,toxichat,harmful,0.7676969092721835,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.6905958363244795,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.7353668590272052,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.6938775510204082,Hidden States GDA
openai_mod,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.6971014492753623,Hidden States GDA
mmlu,olmo2_1124_7b_inst,wildguard,non_harmful,1.0,Hidden States GDA
mmlu,olmo2_1124_7b_inst,aegis,non_harmful,0.9941690962099126,Hidden States GDA
mmlu,olmo2_1124_7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
mmlu,olmo2_1124_7b_inst,wildguard+aegis,non_harmful,0.9985422740524781,Hidden States GDA
mmlu,olmo2_1124_7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
mmlu,olmo2_1124_7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
mmlu,olmo2_1124_7b_inst,wildguard+aegis+toxichat,non_harmful,0.9996355685131195,Hidden States GDA
codex,olmo2_1124_7b_inst,wildguard,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,aegis,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
codex,olmo2_1124_7b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,wildguard,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,aegis,non_harmful,0.9992418498862775,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,olmo2_1124_7b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,wildguard,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,aegis,non_harmful,0.9935185185185185,Hidden States GDA
bbh,olmo2_1124_7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
bbh,olmo2_1124_7b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
mtbench,olmo2_1124_7b_inst,wildguard,non_harmful,0.9625,Hidden States GDA
mtbench,olmo2_1124_7b_inst,aegis,non_harmful,0.975,Hidden States GDA
mtbench,olmo2_1124_7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
